id,seeker_post,response_post
38,"The only thing getting 'lit' this weekend are my fall scented candles.. I am so lonely. I'm in summer vacation and I just lay in bed all day, and browse random shit online. I wish I could do fun things, but Nope, couldn't even get that in life.",i 'm sorry to hear that . i hope you get to see them soon .
39,who cares if i exist?. today is a sad day. its just one of those days i guess. i'm just kinda done. theres not much to look forward to these days. everything is just kinda the same.,i 'm sorry to hear that . i hope you get to work soon .
40,Someone please come and break my legs and put me in hospital. I can't go to work anymore,i know what you mean . i would have felt the same way .
41,It was my 20th birthday yesterday. I had no emotions at all towards it.,i 'm sorry to hear that . what happened ?
42,"It's my 18th birthday, everyone is congratulating me and to be honest I'm surprised I've made it this far.. Everyone wonders what I want to do with my life and I have no idea. The reason I have no idea is that I didn't think I'd still be alive today. I thought I would have ended it by now. Happy birthday to me","i love the guitar , but i 'm not a fan of meatloaf . i hope you 're not hurt . i hope you can get it back to you !"
43,"I'm contemplating suicide via ruining my life.. If I can't do it quickly, then I'll do it slowly. I'm in no rush. I mean fuck it. I'm going to be miserable whether I'm working my dream job or being a cashier at McDonald's. What's the point in taking up something someone else is gonna enjoy more?",i can imagine . i hope you can find a new one soon .
44,emotional trauma/neglect and being re-traumatized on top of the depression. I can't take it anymore I just want out.,i 'm sorry to hear that . i 'm sure you 'll have a great time .
45,Fuck it. My girl and I broke up and im done. I was doing so well. Been clean for months now and now... I just want to die and get it over with.,i 'm sorry to hear that . i hope you can get through it .
46,Everyday I ask myself why I haven't killed myself.. And as each day passes I have less reasons.,that 's too bad . i hope you are ok .
47,I finished a 6 hour motorcycle ride between two states.. Why didn't I get hit?,i am sorry to hear that . i 'm sure you 'll be fine .
48,"Why is it so easy to blame ourselves?. It's strange, sometimes when I make mistakes that clearly not my fault I blame myself for it, but why is that and how can we stop blaming ourselves for everything?",oh no ! i 'm sorry to hear that . i hope you can find something else quickly .
49,Is the good even worth it?. idek anymore. Too much bad...,that 's good . i hope you get it !
50,People said try finding yourself a goal. But I have goals. I can't work on them because I feel tired. Which makes me feel more worst due to my failure.. I am not sad I am just feel...given up.,that 's good to hear . i hope you can find something soon .
51,I have become comfortably numb. afraid of who I am becoming,i 'm sorry to hear that .
52,I feel so alone. And it hurts so much,why did you lie ?
53,"It would mean so much for someone to just notice something is wrong and ask if I'm okay. Just once, I want someone to know I'm spiraling down without me having to pour everything onto them. If they'd just be interested enough in my well being to *ask*...",that is a tough situation .
54,I can't even drink to escape my sorrows because I can't stand the taste of alcoholic drinks. So at least you guys have that going for you haha.,oh no ! i am so sorry to hear that .
55,I think God laughed the day he put me on this Earth.. Depression is the cruelest punishment of all.,oh no ! did you have any of the truck ?
56,Anyone feel homesickness at home. I know that sounds strange but I think that's the best way to articulate it.,i can understand that . i hate being alone in a city too
57,"hit a big depressive dip recently.. a combination of parents yelling at me, dissatisfaction at life, and mixed feelings about everything brought me into a low point again. i feel like i've broken yet another thing inside me.","that 's awful , i hope you can get some compensation and it was n't coffee ."
58,Stress fasting?. Do you folk get it? When it gets rough I pretty much won't eat for 4-7 days,that 's awesome . i 'm happy for you .
59,"What did you live through in 2018?. Every year, my mom has the family reflect on things that we've gotten through during the year. Good or bad, we made it through something. So now, I'm asking you the same thing: What's something you lived through in 2018 that you can now say, I made it through. &amp;#x200B; What I lived through: losing all of my friends but making a new one, concerts, trip out of my home state, and making photography work I can be proud of now, getting on stable meds.",that 's great . i 'm glad you did n't get to ride in the other day .
60,"Depression and Anger are best friends if not the same entity.. I'm at the point in my depression spectrum where everything makes me angry. All day I experience silent rage. Things piss me off more than they did before. And this is the way i isolate myself without knowing it at times. My family tells me they don't know who I am anymore, they ask why I'm mad all the time. My partner does not get fair treatment from how shitty I treat him. My whole life is that feeling you get when your mom tells you to take out the garbage right before you're about to go sleep. Little inconvenience after little inconvenience turns into full on discomfort being awake and always being pissed off you have to do anything at all. I don't know how to not be mad anymore and it scares me.",i know right . i 'm sorry you had to deal with that .
61,Anyone else have a hard time this time of year? Looking for some help.. I have 2 kids and am having such a hard time getting into the Christmas spirit. The darkness makes me tired all the time and I feel like doing anything but going to bed.,that 's really cool . i hope you have a great time !
62,Anyone else feel incapable of being happy?. No matter how good things are I just can't seem to be happy.,that is good to hear . i am glad you are feeling well .
63,I cried for no reason in a public place. That was the first time I really cried in a crowded place.,that 's good . did you get a new one ?
64,"im at my lowest point in life. i keep on failing at everything i do, i have no reason to live. Please help i cant do this anymore. Its become too big for me, i have no idea or hope on what to do. Please, help.",i am sorry to hear that . i hope you can find something to talk to .
65,Got back from therapist.. and it was useless... she only questioned me why i dont work and why i dont have any meaning in this life... useless visit for a useless person.. well i guess its time to stop this..,that is a good reason to do .
66,"Have you ever just stared blankly at a car's headlights as it speeds towards you, wishing that it would it would hit and kill you instantaneously?. You close your eyes accepting the promised bliss of death... and the car stops. You slowly sink bank to reality as you open your eyes again and walk on.",i 'm sorry to hear that . i hope you find someone to help .
67,Wish my parents would die so I could commit suicide. I don't want to be alive.,i know right . i have been there .
68,"My dog ran away today.. It's my fault, I left the gate wide open. I feel like shit.",oh no ! i hope you did n't get hurt .
69,I miss my mum. I'm just crying a lot today and.I'm really depressed because I miss my mum,i 'm sorry to hear that .
70,"I hate the good days. I'm really starting to hate any good days that I may have. I get one every month or so and it's quite possibly worse than just being depressed. It dosent matter how happy I am or how much I try, I know it will be right back. And worse than a normal day. After a few hours I fall right back down. I honestly don't know why I'm still alive. My life has just been a series of fuck ups. I should be a functioning adult by now and yet I can barely think straight. I'm just running in circles, I do the minimum to survive. Daydreaming is my only escape and even my depression is inhibiting that. Why, why me, why any of us. I wouldn't wish this on my worst enemy.",i am sure you will be able to talk to them .
71,"Maybe I'm not depressed. Maybe I just don't like living.. I mean, I don't seem to have ANY depressive symptoms except being generally dissatisfied with life and being suicidal. None of the drugs worked. None of the shrinks helped. Maybe living really is just a shitty, boring thing in aggregate.",i am sorry to hear that . i hope you find someone to talk to your city and let you find a way .
72,I feel numb. This year has been so hard. I have never felt loneliness like I have this year. Overwhelming feelings of sadness and despair wash over me as I am just walking long the road or sat at work. It takes so much energy to pretend to be normal for family or colleagues. I am so tired. My day used to be happy. I used to find joy in things but there is no joy left. But I know that I don't feel empty. Far from empty as there is so much darkness inside me. I feel numb. Does anyone else feel nub?,that 's a good idea . i 'm sure you 'll be fine .
73,"Anyone else has nothing worth living for?. No friends, no job prospects, no romantic success to look forward to. Makes life look like an utterly pointless waste of time. Anyone else struggling with this?",oh no ! i hate when that happens .
74,"Anyone take mental health days from work?. Do you use vacation, PTO, sick, FMLA?",i 'm sorry to hear that .
75,"Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish.",i am sorry to hear that . i hope you can find someone else to help you out .
76,"Sometimes I wonder why I even try. I've never really overcome depression, because it always comes back worse than before. This is the worst I've ever had; I can't go more than 5 minutes without thinking about suicide.",i 'm sorry to hear that . i hope you can find a way to make it through .
77,"I have been a Freshmen for 3, 1/2 years. I don't even blame my depression , I am just dumb. I was at community college for three years and now I am on academic probation in a university, this is my second semester here and I only have twelve credits to my name. I am trying , I really am but it's just hard and hopeless. The other day my parents told me we made room for your future degree , next to your siblings degrees! I am twenty-two years old going on twenty-three. I don't know what to do.",i 'm sorry to hear that . i hope you get to ride soon !
78,Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me.,that is so sad . i hope you are able to get a new one .
79,It’s like I’m driving with no driving wheel. And just wishing for the car to hit a wall,i would be too . i would have been so scared too .
80,Your entire reason for existing explained in one word.. Work. . . That's about it.,that 's awesome ! i 'm sure you 'll do fine !
81,"Getting out of your situation or not is a choice.. Paraphrasing what a former friend used to say. Splendid, I felt so enlightened I could cry tears of joy.","wow , that 's a long time ago . i 'm sure it 'll be a great time !"
82,Anyone feel numb/epmpty. I don't really know of its depression but I figured you guys could help. I have this number feeling where I just don't feel emotions other then sad or angry I just feel empty. Like I'm just a shell with nothing inside just going through life. I don't really know what to do with myself I don't want to kill myself because it would hurt the people I care about most but at the same time I can't feel anything other then everything suck why am I here. It's really tough to even get out of bed in the morning all I want to do is cry. Does anyone have any ideas on coping with this numb/empty feeling because nothing makes me happy.,i 'm sorry to hear that . i hope you can figure it out .
83,"Today is my birthday. I should be happy and shit, but I'm just empty. Does this happen to you, when you should be happy but your just empty? This sucks. Want this shit to end",that is good to hear .
84,Idk. It's 5 am and everything is hitting at once,that sounds like a real good thing to do .
85,"Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly?",i know right ? i know the feeling of being able to move on .
86,"I'm curious about how anti-depressants have affected you. I've been dealing with depression since I was 12 (I'm nearly 19 now) and in the past, my doctor recommended anti-depressants. I was hesitant because I've had friends say it essentially makes you feel like an emotionless robot, so I ended up declining that option entirely. I feel like my depression has only gotten worse and worse and am now looking to meds as a last resort. To anyone currently/previously on anti-depressants, could you tell me how it's affected you both mentally and physically? Thank you all &lt;3",i 'm sure it will be fine
87,I've had depression since I was 8 years old and I am now 21 years old with no recovery.. This makes me incredibly scared of my future...,i do n't think i would be able to help .
88,Does anyone else feel normal late at night?. I find myself depressed mostly morning-evening. However I feel content and relaxed late at night,that is really nice .
89,"Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space.",i am sorry to hear that . i hope you find a better home .
90,"Feel like I'm forgetting what enjoyment is. Time with my partner doesn't feel fulfilling, not like it did. Even my zoo job feels routine; I don't do much there, and today, I feel dull to it. I hate this; I don't deserve numbness, I should be grateful for my life. Depression, thieving fucker..",that 's great ! i 'm happy for you .
91,The 20's. Are the 20's supposed to suck this bad. I want to fast forward to when my life gets better. Kind of like a click remote.,i am sure you will be fine .
92,Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die.,that 's good . i 'm glad you 're ok .
93,"Lonely in a crowd. I'm hanging here at a party of about 75 drinking, and I feel completely alone.",i 'm sorry to hear that . i hope you are ok .
94,Feeling nervous when happy. So yesterday I felt happy for the first time in a while and switched from my depressing music to my happy music. I quickly switched back to my depressing music because the happiness made me feel uneasy and nervous. Anyone else have this happen to them?,i am sure it will !
95,I don't why but I just cut myself out of sheer boredom. I don't know why this happens and how to stop.,that 's unfortunate . i 'm sorry to hear that .
96,no friends for 10 years. no gf. ugly. wtf do i do?. I'm a 24 year old old man.,that 's cool . how long have you been together ?
97,"despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again well that were some nice 2 months but now im feeling like shit again have some side effects as well and in about 1 month ill see my psychiatrist again lets see if i can survive till then",i 'm sure you 'll be fine .
98,"Anxiety/panic attacks. How do you guys deal with anxiety/panic attacks? I used to have them a lot and could discrease them but never really stop. But now they're back on like, almost daily basis and I really don't know how to handle them at all.","i know that feeling , i have a lot of people who care of others ."
99,"I wish i had cancer. So my family was helping me, instead of judging",that 's a good thing to hear ! what kind of dog is it ?
100,"Depressed.... I've faced the biggest betrayal ever, and I am depressed as shit. Any thoughts?",i 'm sorry to hear that . what happened ?
101,I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough...,that 's so sad . i 'm sorry to hear that .
102,"About to clean my room. Need a little encouragement.. I'll report back when I'm done or how the progress is going. I have to use adhd medication to get me to start, even though I tend to do other things instead, and the come down makes me think bad thoughts. Sigh. Wish me luck.",i can understand that
103,".... Feeling hopeless and useless at the moment... Empty, lost, darkness",that 's a good thing to hear ! how did you manage ?
104,"Can’t sleep, Any techniques to suppress my depressive thoughts about my future and fall a sleep?. I just sleep more then 3 hours Please help me",that 's great . i 'm glad you 're ok .
105,Living in the past .... How to be more present..,i am sorry to hear that . i 'm sure you 'll be fine .
106,Anyone else use to be smart and then after years of being idol you became stupid. Happened to me. awful. I think from constantly disengaging myself,i 'm sorry to hear that . i hope you do n't have any regrets .
107,"That feeling when you look at the dental bill.... ...and could scream in agony, realizing no one but yourself is to blame for abusing you by neglecting your teeth, including expensive previous dental work that's now gone to hell. Depression carries some very heavy lessons.",i am sorry to hear that .
108,I don't really want my depression to go away.. Its a part of me even though it keeps me from doing anything it also makes me me. Suicidal thoughts are a large part of my personality.,i am sure you will be able to have a good time .
109,Had to promise not to kill myself. Dont think i can keep it.. My therapist made me promise to not kill myself but i cant keep suffering,i am sorry to hear that .
110,Sister is depressed how can I help?. My sister is 4 years older than me. She has been depressed for at least 4 weeks maybe longer. We don't live in the same city. Based on your personal experience what kinds of things do you like to hear from a loved one? That makes you feel better?,i 'm sorry to hear that . maybe you can find a new hobby to keep yourself occupied .
111,"Depression and addiction. i have been suffering from depression from when i was 13. I am 19. I don't have any friends. If i die right now, no one will notice. I am adicted to heroin cocaine and methadone. I need help or I may die. &amp;#x200B;",i am sorry to hear that . i hope you can find a way to keep up .
112,Not going to kill myself but I really want to die. What is the point?? Everything is shit anyway?? I really didn't ask to be born and then my parents put this life responsibility on me. Anybody else feel like this?,"i can imagine , i would be so scared too ."
113,"Talking to people doesn't help. No matter how much I vent, nothing actually helps me and I still feel the same.",i am sorry to hear that . i 'm sure you 'll be fine .
114,I hate going to sleep knowing I’ll wake up in the morning.. I wish just end already.,i am sure you will be fine .
115,Any good literature or media about depression?. PLS help I haven't read anything in years and I feel like something that can I can either relate or help me through this will help me out of this rut,i 'm sorry to hear that . i hope you get the job .
116,depression is an endless fucking cycle. you're depressed so you do stupid shit. you make your life worse. and you get more depressed. cycle continues,that 's really tough . i hope you get to work hard for you .
117,Holy hell why cant I sleep?!. I just started taking Zoloft a few days ago and since then I can not fucking fall asleep. I'm not an idiot I know it's a side effect but shit this is annoying. I have school in the morning,that is so sad . i hope you can figure it out .
118,"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...",that 's awful . i 'm sorry . i hope it turns out well .
119,"What do you call someone,. who has the solution in their hands, ready to use instantaneously, and yet doesn't do it and chooses to continue whining about their life?",that is a good thing to have .
120,Happiness is hard to come by.. I don't know how to be happy... it seems like there's always something lingering that wants to put me down.,i 'm sorry to hear that . it is hard to get out of the end .
121,"I don't want a partner or even just friends because I want the freedom to kill myself, with the least number of people affected.. This way, it's only my parents and siblings who will be saddened.",i 'm sure it is !
122,How to become an Introvert ?. It may sound wired but i think that being extroverts suck and becoming Introvert may help me in depression and anxiety and the worst i think i have BPD.Can someone give me a guide on how to become an Introvert. Thanks,i can understand that . i hope you get some rest .
123,Trust is a curious little thing.... We take it for granted... until we eventually realise: it's a concept that doesn't actually exist.,i know right . i am sure you will get it .
124,I failed my suicide attempt. I tried to hang myself but I was saved by my mom. :(,that 's terrible . i 'm sorry to hear that .
125,I feel like drunk me is the person I'd be without depression. With drunk me I mean being drunk and on xanax,that is so bad . i am sorry to hear that .
126,I want to die. I fucking hate myself and my miserable existence. I'm a shitty excuse of a human being. I can't even kill myself properly but that probably won't stop me from trying again soon.,"that 's understandable , i have a colleague that seems like a lot of people are just alone ."
127,how do people deal with deprrssion. I got depression recently. Iv4 never had it before. Some days I wanna end my life and some days i am happy. How do people overcome this,i 'm sorry to hear that . i hope you can find someone soon .
128,Does anyone else have a hard time getting motivated to exercise?. I find exercise almost unbearable w/ depression.,that 's a good thing to have . i 'm sorry you 're going through this .
129,Does abstaining from masturbation cures depression?. At least for some people?,oh no ! i 'm sorry to hear that .
130,I've been laying in bed for 2 hours. I've been laying in the dark with my eyes closed for 2 hours and still can't fall asleep. I have to be up early for classes too. This sucks. I just want to sleep but my heart is pounding and i can't stop thinking. It feels like I'm wide awake.,i 'm sure you will be fine .
131,Sometimes I know that I am doing something that will make my depression worse but I just can't stop!. Over eating not making plans with friends ETC ETC,i know what you mean . i hate being late for the night .
132,I can't keep going.. It's getting very hard just to put up a fight.,i 'm sorry to hear that . i hope you can find some online .
133,"Hang myself so much I've moved up to face cutting. There are times where I would like to smash a wine glad into my face, or fantasise about having my head smashed in. Today I started cutting my face.",oh no ! i 'm sorry that happened to you .
134,Sometimes it difficult to ask for help. What is worse most people won't be willing to help.,i 'm sorry to hear that . what happened ?
135,"Life is unbearable, what can I do?. I'm stuck in a prison. don't know.",i hate when that happens .
136,Is it normal to be depressed ? Or is there something else wrong with you. I think i am but is depression just an excuse for something else ? What do you think I'm not sucidial I think it's selfish,that 's a good idea . i 'm sure you 'll be fine .
137,I don't want to be here anymore.. Currently debating whether or not to end it. Im so lonely and lost.,i am sorry to hear that . i know the feeling .
138,"Anyone tried ketamine infusions for depression?. Considering trying this treatment for depression, anyone already tried it?",oh no . i 'm sorry to hear that .
139,"Why do I only want to sleep, cry, and eat? WTF is wrong with me?. I stupidly quit my job last week. I was becoming close with a guy that I stupidly became a jerk to all because I couldn't control my mood swings. My boyfriend only wants to fuck me. WTF should I do?","well , you should n't feel bad ."
140,I wish I could be drunk 24/7. I hate myself and my life. Nothing is enjoyable for me anymore sober.,that 's terrible . did you confront them ?
141,"Gym anxiety.. I've heard that exercising regularly helps deal with depression. But, I feel too anxious to go to the gym to exercise. Any tips on how I can deal with this?",i hope you get it !
142,"I spent today either staring blankly at a computer screen or my phone. Was too hurt to do anything today, really.",oh no ! i hate when people laugh at the other things .
143,I want to tear my skin off and become a new person. I feel like I'm constricted,i 'm sorry to hear that . i hope you do n't have to deal with it .
144,"My last love was my last love. Fuck this being in love isnt worth the pain when it ends. Im done trying to have proper relationships, when I next manage to get a job I'm just gonna start seeing prostitutes. Only female attention ive ever got any chance of having in the future anyway so fuck it.",i 'm sure you 'll get it .
145,Anyone else hate social media stories?. Also lives bc they show other people having fun together just at the same time that you're sitting alone in a dark room wishing you weren't born. Also I see lots if things I wasn't invited to so that's always great,i can imagine . i would be too .
146,when you find out drugs and sex are boring as hell. wtf do you even look forward to?,oh no ! that is so frustrating . i hope it turns out well .
147,Does it help?. Does seeking a therapist or eating medicine helps?,i 'm sorry to hear that .
148,"I saw a photo of myself from a year ago. I... can't believe how much the anxiety, stress, and sadness has aged my face. I look like a different person. When did this happen? Has this happened to you too?",that 's really sweet . i am glad you have that experience !
149,how to know whether .... I am depressed because I don't do anything or I don't do anything because I am depressed ?,i 'm sorry to hear that . i hope you can find something else soon .
150,2017 has been my worst year. Without a better future in sight either :)),that 's great ! i bet you are so proud of yourself !
151,Anyone else occasionally have to go to your car or the bathroom during work to just cry?. Sometimes I just keep myself together for the whole work day,i would be too . i would be so mad .
152,"I swear if one more person tells me: You only have one life, there is no time to waste worrying, you have an entire future ahead I will kick him/her in the crotch.. I am just tired of being tired of the same soul-sucking routine engraved in my DNA.",i am sure it will be fine
153,Hey!. How is life treating you today?,i 'm sorry to hear that . i hope you are doing better now .
154,Another twelve hour graveyard shift. And I forgot to take my meds.. It's gonna be a long night &lt;/3,oh no ! i hate when that happens .
155,"There's someone for everybody. The problem is, I'm nobody.",i know right . i hate when people do n't care about it .
156,First step... The hardest step.. After enjoying 6years of depression and dark stuff on this sick brain... I've taken this step now. A few weeks in a mental hospital. Hoping to get out. Not sure why i Tell this here. Maybe hoping that others can take this step to. Good luck to all who are in this shitty shituation. #smallsteps,i am sure you will be fine .
157,Hey guys. until the exam is half a year left . but I understand absolutely nothing. I feel like I can not fix it . What to do? Maybe to kill myself? But how? Also I have so many many problems.... ah. Depression.. help?,i hope you get it !
158,"Bank account will most likely hit 0...another job interview where I'm not the primary candidate. Still very unsure of my future... I'm plenty sick of living woth my family, and yet there's not much I can do about it.",i 'm sorry to hear that . i hope you get the job .
159,"I never asked to be alive, so why do I have to stay alive?. It wasn't my decision to come into this world. If no one wants me here than why do I have to work this hard to be here?",i 'm sorry to hear that . i hope you find someone to talk to .
160,"Not even 2 weeks into 2019 and already everything is going wrong :(. I was alone on new years as expected, don't know why I thought this would be my year. Already I have had a swollen infected gum and now what seems to be a kidney infection. I'm back to my crappy sleeping pattern and it's still the same old bullshit. A crazy family fight and other stupid shit. Why do I have to suffer, why can't I just have one good year? :(","oh wow , that is a long time ago , i 'm sorry to hear that ."
