[2024-03-10 13:23:22,223 INFO] Vocab size: 38622
[2024-03-10 13:23:22,223 INFO] EmotionVocab Size: 32
[2024-03-10 13:23:23,936 INFO] Training data size: 40252
[2024-03-10 13:23:23,936 INFO] Valid data size: 5736
[2024-03-10 13:23:23,936 INFO] Test data size: 307
[2024-03-10 13:23:32,639 INFO] loading emotion model...
[2024-03-10 13:23:38,819 INFO] S-0	<CLS> Help. Help me. I dunno what I'm doing anymore <SEP>
[2024-03-10 13:23:38,820 INFO] T-7	<BOS> Is that really so bad? Maybe it was the smart decision because you needed that time to read recover. You're being kind to yourself when you need it and that's important. Hope you feel better soon. <EOS>
[2024-03-10 13:23:38,820 INFO] H-7	i am glad you got it done something like that .
[2024-03-10 13:23:38,820 INFO] S-8	<CLS> Lost my job, have no reason to live. My career is over, my personal relationships are barely existent, and the friends I do have live far away. I have absolutely no reason to live, no job prospects, no way to afford treatment. I will be killing myself soon unless a miracle happens. <SEP>
[2024-03-10 13:23:38,821 INFO] T-8	<BOS> Why can't you get a job as a lawyer? <EOS>
[2024-03-10 13:23:38,821 INFO] H-8	i know what you mean . i hope you can find a new job .
[2024-03-10 13:23:38,821 INFO] S-9	<CLS> i wanna jump from an elevated place. i wanna kill myself, like really really would like to jump off an elevated place, but not die what do i do? drugs? fall from somewhere not far above the ground(like a 4meters jump)? you know, i'd just like to die but i have a gr8 life other than that (I have different lives in two different countries, just want to kill myself in one) <SEP>
[2024-03-10 13:23:38,821 INFO] T-9	<BOS> I don't want you to jump. I don't want you to die, in either one. I don't know exactly what you're going through but from the sounds of it, I'd suggest focusing on the parts in your life that you enjoy. <EOS>
[2024-03-10 13:23:38,821 INFO] H-9	that 's a good idea . i 'm sure you 'll be fine .
[2024-03-10 13:23:38,821 INFO] S-10	<CLS> Wrong diagnosis-ADHD vs Bipolar Depression. For the past 5 years I've dealt with being misdiagnosed. I have ADHD and Depression but was diagnosed with Bipolar disorder. Has anyone else had this happen? What were the ramifications? How did you handle and what actions did you take? <SEP>
[2024-03-10 13:23:38,821 INFO] T-10	<BOS> It's not uncommon. Bipolar can be very difficult to diagnose. We tend to think of it as a constant swinging between high and low but really you can be low all the time and still be bipolar if you had one high at some point. What you do is move forward with your new diagnosis and work on treatment and coping skills. ADHD and depression are generally easier to manage long term than bipolar disorder, so that's a plus. <EOS>
[2024-03-10 13:23:38,821 INFO] H-10	that 's too bad . i hope you can find someone to talk to .
[2024-03-10 13:23:38,821 INFO] S-11	<CLS> How long is this going to go for?. I wish I fucking knew. Fuck you and everyone else. <SEP>
[2024-03-10 13:23:38,821 INFO] T-11	<BOS> Expecting people to stop being depressed like turning off a light is extremely stupid. <EOS>
[2024-03-10 13:23:38,821 INFO] H-11	that 's good . what kind of surgery ?
[2024-03-10 13:23:38,821 INFO] S-12	<CLS> I've had a hard time going back to school. Going back to school has been difficult for me, It's been around five years since I've been in a class room and I ask the teachers and the people that I go to my classes to cut me some slack for being rusty but they tell me that it doesn't matter, and my step mom doesn't want me to use the computer because she doesn't want to share. Its lead me to skipping classes because I feel like theirs no use in going to school, it would be cool to know how you would handle this situation and if you can give me any advice. <SEP>
[2024-03-10 13:23:38,821 INFO] T-12	<BOS> sorry to hear that, but been in a similar situation after taking some time off of school. My best advice is to take the minimum amount of classes possible so you get too overwhelmed. For me essential to plan my assignments in advance, so that I can just do things one by one and not let it all get piled up cuz then I wanna die. Also, if you need a break, take one. School will always be there but good to take care of yourself too :) <EOS>
[2024-03-10 13:23:38,821 INFO] H-12	i would be too ! i would n't want to go back to the gym and be a truly helpful house .
[2024-03-10 13:23:38,821 INFO] S-13	<CLS> Depression. So any non med for depression ? <SEP>
[2024-03-10 13:23:38,821 INFO] T-13	<BOS> The generic answers heard over the years tend to go something like the following; exercise, sunlight, talking, therapy, stroking animals, eating healthily, meditation and writing one thing thankful for daily. I say with sincerity that any of those have worked for me but helped others. Keeping busy with hobbies on the days able to function might help. It does slightly for me. <EOS>
[2024-03-10 13:23:38,821 INFO] H-13	that 's awesome ! how long have you been together ?
[2024-03-10 13:23:38,821 INFO] S-14	<CLS> All the people who will be kissed on New year's eve. I'll be alone like usual I'll never get someone to kiss me It's fine No one understands how hopelessly, alone, and angrily some people live. It would scare some attractive people that haven't ever lived like that. <SEP>
[2024-03-10 13:23:38,821 INFO] T-14	<BOS> Hey, just wait it out. I know what you feel. Sometimes I think I'm attractive, and sometimes I can't even look at myself I'm so disgusted. I've come to realize it's all just a fucked up mind game I play with myself. I doubt you're actually that ugly, you're probably kinda cute honestly, but if you're anything like me, you've tricked yourself into thinking you're ugly. If you want people to want to be around you, you have to do some basic things like showering, putting on actual clothes, smiling, excercising a little and pretending you have confidence. It's honestly dumb, but these things can be hard to do, especially if you struggle with low confidence and depression. But if you take care of yourself, it's not too hard to find people. And just you wait until you find a person to kiss on New Years, because the feeling is worth the wait. I know this is all a bit corny, but if you ever wanna talk about anything I'd be more than happy to :) <EOS>
[2024-03-10 13:23:38,821 INFO] H-14	oh no , i 'm sorry to hear that .
[2024-03-10 13:23:38,821 INFO] S-15	<CLS> It’s terrible being alone in a crisis. Just wanted to express this. <SEP>
[2024-03-10 13:23:38,821 INFO] T-15	<BOS> No amount of 'you are not alone's from internet randos who won't reach out to you after will help. My local mental health system is an absolute joke and often made me more suicidal. So I also am alone when in crisis. <EOS>
[2024-03-10 13:23:38,821 INFO] H-15	oh no ! i 'm sorry to hear that .
[2024-03-10 13:23:38,821 INFO] S-16	<CLS> honestly what is in this world for me.. nothing thats what i feel like living to make other people happy when they only like me cause they feel sorry for me not cause they actually like me jesus i live such a sorry life. <SEP>
[2024-03-10 13:23:38,821 INFO] T-16	<BOS> at least you got people trying to comfort you. I even dont have that. Again there are people who got it Much worse <EOS>
[2024-03-10 13:23:38,821 INFO] H-16	that is a long time to be in life . i hope you find some new friends and family .
[2024-03-10 13:23:38,821 INFO] S-17	<CLS> Why the fuck am I depressed. I don't even remember when or why but I just feel empty Like I'll be having a great time and suddenly I just want to go home and sleep It's so fuckin dumb I just want to be happy I'm not even sure why like is it because I'm a little overweight? Or stress? Or because I can't get a girlfriend? Because that's a stupid reason to be depressed Why am I doing this to myself How the fuck do I fix this Why do I write all this trash thinking people will actually read it <SEP>
[2024-03-10 13:23:38,821 INFO] T-17	<BOS> Does there need to be a reason? Depression is an illness, and like any other illness it doesn't need some form of justification, it just *is* <EOS>
[2024-03-10 13:23:38,821 INFO] H-17	i can understand that . i 'm sure you 'll be fine .
[2024-03-10 13:23:38,821 INFO] S-18	<CLS> The world is really pretty.. Pity, that I won't be there anymore to cherish it. <SEP>
[2024-03-10 13:23:38,821 INFO] T-18	<BOS> You're a good man, Median. I hope you know this. I hope that you have people around you that will tell your story for centuries, and that you live on as a hero in the minds of newer generations. But, I'd rather you live, personally. <EOS>
[2024-03-10 13:23:38,821 INFO] H-18	i know what you mean . i 'm sure you are going to miss them .
[2024-03-10 13:23:38,821 INFO] S-19	<CLS> Don't know what this is.... Not sure if this is the right place but here I go. I feel alone, I feel trapped in my mind, I feel like life is a cycle and I don't know what to do anymore. I have gained weight in the past 3 months, everyone has noticed it all my friends and family. I have never been depressed nor ever felt like this really, only up until maybe 5 months ago. The thing is that I have not had anything traumatic happen to me to make me feel like this. I've had family problems but I don't really see that as a problem i've dealt with it for many years. Is it possible to be depressed for no real reason? Are these symptoms of depression? <SEP>
[2024-03-10 13:23:38,821 INFO] T-19	<BOS> Thats totally normal, most people get that from time to time. It will pass, the when is the real question. Good news is you can work on the when, at least it works for me. I think the key is to accept whatever you are feeling, not fight it and not try to change it, even try to get yourself to cry. The point is really to change your mindset from 'i have depression i can't cure it, it is killing me' to 'i'm sad again for no reason, human brain is a pile of shit and buggy as hell, I'm gonny cry all day to give it what it wants'.. <EOS>
[2024-03-10 13:23:38,821 INFO] H-19	i 'm sure you 'll be able to keep in touch with them .
[2024-03-10 13:23:38,821 INFO] S-20	<CLS> Having kids is the most selfish yet selfless thing a person can do.. I just wish I never existed. <SEP>
[2024-03-10 13:23:38,822 INFO] T-20	<BOS> Yes you are right from my experience.Not dealing with my problems. I isolated my family. It just came second nature.When they don't understand me.I kept busy on the shitty computer to avoid my problems. I realize that the worst thing i could have done. I need to try harder and put my family first who means everything to me. <EOS>
[2024-03-10 13:23:38,822 INFO] H-20	that 's a good thing to hear . i am sure she 'll be fine .
[2024-03-10 13:23:38,822 INFO] S-21	<CLS> Why does death make people sad?. a relief from the hell known as life <SEP>
[2024-03-10 13:23:38,822 INFO] T-21	<BOS> I don't really think life is he'll but I don't understand the weird sadness or fear of death that people have. I've known a few people who died. I wasn't sad at all. Everyone I know is going to die and one day I am going to die. Why is that sad? <EOS>
[2024-03-10 13:23:38,822 INFO] H-21	i can imagine . i am glad you 're feeling better now .
[2024-03-10 13:23:38,822 INFO] S-22	<CLS> If anyone will listen. I'm in a bad place right now. I could really use a friend. <SEP>
[2024-03-10 13:23:38,822 INFO] T-22	<BOS> No friends here, willing to listen. Need someone to listen to me sometime too. I'm going to bed right now, but if you want to message me I will get back to you tomorrow. <EOS>
[2024-03-10 13:23:38,822 INFO] H-22	what kind of food do you have ?
[2024-03-10 13:23:38,822 INFO] S-23	<CLS> When everything is a challenge. Tying your shoes..eating..pulling your shirt over your head, even just walking. Everything is hard like you're climbing up a mountain. What I wouldn't give to see the world differently <SEP>
[2024-03-10 13:23:38,822 INFO] T-23	<BOS> ive just sat in my room crying my eyes out thinking mostly about this. Conversations with people ive known my whole life i find difficult, its not natural. Everything feels so forced! im sick of trying so so hard to look normal. I hide my feelings from absolutely everyone and im exhausted. No motivation in life, feel like im a waste of skin <EOS>
[2024-03-10 13:23:38,822 INFO] H-23	i 'm sorry to hear that . i hope you get the money back to that much .
[2024-03-10 13:23:38,822 INFO] S-24	<CLS> I don't wanna go back to a psych unit a third time.. I feel like I'm being pushed over the edge. I don't want to go back to the psych unit for the third time in a 6 month period. What do I do? <SEP>
[2024-03-10 13:23:38,822 INFO] T-24	<BOS> Omgosh. I just want to validate this feeling because I have been there. That said, if it's a matter of safety, there is no question. You know that you need to go. You just do it. It's not some kind of failure. You are taking care of yourself. It DOES super suck though. Don't let anyone tell you it's all fine and fun to go through that. I've been there. I've come out the other end and been okay for long periods too though so I mean, it doesn't stay like that. Hang on. It gets better. <EOS>
[2024-03-10 13:23:38,822 INFO] H-24	i hope you do too !
[2024-03-10 13:23:38,822 INFO] S-25	<CLS> Feeling really hopeless right now.. Can anyone offer some positivity or good vibes right now? <SEP>
[2024-03-10 13:23:38,822 INFO] T-25	<BOS> Write here one good memory of something nice happened recently. <EOS>
[2024-03-10 13:23:38,822 INFO] H-25	that 's awesome ! i hope you get it !
[2024-03-10 13:23:38,822 INFO] S-26	<CLS> Nothing works. They took me off the one pill that worked. The pill I'm on now is the worst one of them all. Should I call them and tell them? I dont know who exactly to call. Please kill me. <SEP>
[2024-03-10 13:23:38,822 INFO] T-26	<BOS> What were you taking before vs what are you taking now? Are you being prescribed by your general doctor or a psychiatrist? Do you feel like you are in danger right now? <EOS>
[2024-03-10 13:23:38,822 INFO] H-26	i 'm sorry to hear that . i hope you find something soon .
[2024-03-10 13:23:38,822 INFO] S-27	<CLS> I'm gonna become an alcoholic. I don't want to. I haven't touched a drop of booze in my life. I don't really have access to it, as I'm underage. But I think more and more about drinking every day, and I wonder if it will work to mediate the symptoms just a bit. My grandfather is a recovering alcoholic, and I don't want to follow in his footsteps, but I know I will eventually. I'm just waiting to see when I snap. <SEP>
[2024-03-10 13:23:38,822 INFO] T-27	<BOS> I'm down in that hole. Don't get sucked in is my advice. You'll get nothing good out of it. The thing with alcohol is that, once you start drinking too much, too often, the idea that it makes you feel better is entertained while it is not true at all. It's: *I drink to forget, but I've drank so much I don't know what it is I have to forget. So I drink, just to be sure.* Alcohol and drugs have become a habit for me and I can't really live without them anymore. I need them to maintain a level of tolerable shittiness - but trust me, I'd be way less miserable if I never started it. <EOS>
[2024-03-10 13:23:38,822 INFO] H-27	i 'm sorry to hear that . i hope you have a good time together .
[2024-03-10 13:23:38,822 INFO] S-28	<CLS> I’m okay all of the sudden. How can i be so fucking depressed thinking about suicide every single day to just being fine? been a month or two since been feeling suicidal and out of nowhere i just feel ok. What. The. Fuck. <SEP>
[2024-03-10 13:23:38,822 INFO] T-28	<BOS> Thought I was ok and it passed away for half a year, but now it is coming back, and it hits twice as bad as before. <EOS>
[2024-03-10 13:23:38,822 INFO] H-28	i 'm sorry to hear that . maybe you should talk to them about it .
[2024-03-10 13:23:38,822 INFO] S-29	<CLS> I've been in bed for 5 days. I can't seem to stay up for more than an hour at a time. Tomorrow is my last sick day. If I can't get up I will lose my job. Somehow I really don't even care. I wish I could just blink out of existence. <SEP>
[2024-03-10 13:23:38,822 INFO] T-29	<BOS> Get up and take a shower, and then go for a walk so you can clear your mind. That usually helps me after going through one of these periods. It sucks, but you'll get through it. And don't lose your job, you don't want to end up on the street. You're stronger than you think, there's just a cloud of depression around you that's obscuring your vision. Stay strong and don't give up. You can do this. <EOS>
[2024-03-10 13:23:38,822 INFO] H-29	i can imagine . i would be so scared .
[2024-03-10 13:23:38,822 INFO] S-30	<CLS> .. Why do I always have good news followed by a shit night, followed by sitting up at 2am wanting to kill myself? Why is life so difficult? Why is it so impossible to be fucking happy for once in my shit fucking life? What's the point anymore? <SEP>
[2024-03-10 13:23:38,822 INFO] T-30	<BOS> well not for nothing but you made it extremely difficult to read your post by only using a period in the title. JUST saying not judging. <EOS>
[2024-03-10 13:23:38,822 INFO] H-30	oh no ! i hope you can get a breather from that .
[2024-03-10 13:23:38,822 INFO] S-31	<CLS> Does anyone else sleep early to escape thoughts you get at night?. I always see people say how depression causes them to stay awake at night or become lethargic during the day but after 10pm, I become increasingly paranoid and depressed and so I force myself to sleep. Just want to know if anyone out there is the same... <SEP>
[2024-03-10 13:23:38,822 INFO] T-31	<BOS> i used to. rn im in the area of not going to sleep so tmrw doesn't come <EOS>
[2024-03-10 13:23:38,822 INFO] H-31	i 'm sorry to hear that . i hope you can find a better home .
[2024-03-10 13:23:38,822 INFO] S-32	<CLS> how do I get $100 quickly and easily?. I want to buy weed. of course some one who is depressed like me needs drugs. but im serious i want weed so i can just smoke 24/7 to help with the depression. <SEP>
[2024-03-10 13:23:38,822 INFO] T-32	<BOS> I mean fastest way is a pawnshop or trading stuff into GameStop <EOS>
[2024-03-10 13:23:38,822 INFO] H-32	i am sorry to hear that . i hope you can find a local owner .
[2024-03-10 13:23:38,822 INFO] S-33	<CLS> Since we all hate the world and how unfair it why dont we all just become humanitarians. :) even though the bad outweighs the good at least we we will be helping others :):) <SEP>
[2024-03-10 13:23:38,822 INFO] T-33	<BOS> If I had any will to do something good, I'd be doing it. <EOS>
[2024-03-10 13:23:38,822 INFO] H-33	i understand . i hope you can find a solution for your part .
[2024-03-10 13:23:38,822 INFO] S-34	<CLS> Had a dream about my parents falling apart and crying because they thought I'd killed myself.. Dream!me hadn't yet, but was unable to tell them because for some reason they couldn't see or hear me. So all I could do was stand there beside them and watch them break down and cry. Thanks, brain. I haven't been feeling shitty and hating myself enough recently while awake. <SEP>
[2024-03-10 13:23:38,823 INFO] T-34	<BOS> Okay, so feeling shitty is necessarily a shitty feeling. But, even subconscious you is empathetic and cares about others, which is a beautiful fuckin' thing to be. It's why you have the capacity to feel so bad, and it's also why you can (if you want to) be an amazing resource for people. Being able to feel things as deeply as you or I can is something to be cherished and protected and put to good use. The world could use more empathy, you know? It's okay to hate yourself too, btw. Just be honest with yourself about your good traits as well, yeah? &lt;3 <EOS>
[2024-03-10 13:23:38,823 INFO] H-34	i know the feeling . i would be very proud of you .
[2024-03-10 13:23:38,823 INFO] S-35	<CLS> changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself <SEP>
[2024-03-10 13:23:38,823 INFO] T-35	<BOS> Each day repeats with the only change is it gets worse, preach man. <EOS>
[2024-03-10 13:23:38,823 INFO] H-35	that 's awesome ! i bet you are happy !
[2024-03-10 13:23:38,823 INFO] S-36	<CLS> my problems are insignificant. i get bullied. i bully myself. i get beat up. i beat up myself. my family the best, but they the worst. i have things to look forward to, even if they provide a minuscule amount of happiness. other people have it worse. i whine. i am insignificant. <SEP>
[2024-03-10 13:23:38,823 INFO] T-36	<BOS> Pain's pain. There's no point in comparing our suffering to someone else's. Depression doesn't demand that you have a good reason. On a surface level, there's a lot about my life that people would even be jealous of, but that doesn't make me any less miserable. You're the only one living your own experience, no one else can say whether or not it warrants pain. If you feel something, you feel something <EOS>
[2024-03-10 13:23:38,823 INFO] H-36	i 'm sure you will be able to find a new one soon .
[2024-03-10 13:23:38,823 INFO] S-37	<CLS> The only thing getting 'lit' this weekend are my fall scented candles.. I am so lonely. I'm in summer vacation and I just lay in bed all day, and browse random shit online. I wish I could do fun things, but Nope, couldn't even get that in life. <SEP>
[2024-03-10 13:23:38,823 INFO] T-37	<BOS> Treat yourself to some body lotion, chocolate icecream and maybe a glass of wine while you're at it. Couldn't ask for a more relaxing weekend than that. <EOS>
[2024-03-10 13:23:38,823 INFO] H-37	i 'm sorry to hear that . i hope you get to see them soon .
[2024-03-10 13:23:38,823 INFO] S-38	<CLS> who cares if i exist?. today is a sad day. its just one of those days i guess. i'm just kinda done. theres not much to look forward to these days. everything is just kinda the same. <SEP>
[2024-03-10 13:23:38,823 INFO] T-38	<BOS> I care, man. Hang in there, things will get better eventually. <EOS>
[2024-03-10 13:23:38,823 INFO] H-38	i 'm sorry to hear that . i hope you get to work soon .
[2024-03-10 13:23:38,823 INFO] S-39	<CLS> Someone please come and break my legs and put me in hospital. I can't go to work anymore <SEP>
[2024-03-10 13:23:38,823 INFO] T-39	<BOS> Dude. broken my arm so bad that I needed a titanium rod. I was in hospital for 5 days. Let me tell you that it was the most depressing and humiliating thing ever. I was in a ward with a man who was dying from pancreatic cancer and another one who was about to have his legs amputated because of diabetes. It is absolutely miserable seeing them alone throughout the entire day waiting for a visit and sometimes they have anyone come over at all. Furthermore, the medical staff were stretched so thin that I had to scream and bear unspeakable pain for 45 minutes before I could get my shot of painkillers. This was after they had attached the rods to my arm. Oh and last but not least, absolutely humiliating to use the restroom or shower. I understand and appreciate the efforts the medical staff commit but I really help but feel embarrassed when they shower me or escort me to the restroom. wish to be admitted to the hospital. EVER. <EOS>
[2024-03-10 13:23:38,823 INFO] H-39	i know what you mean . i would have felt the same way .
[2024-03-10 13:23:38,823 INFO] S-40	<CLS> It was my 20th birthday yesterday. I had no emotions at all towards it. <SEP>
[2024-03-10 13:23:38,823 INFO] T-40	<BOS> Mine is coming up and I am generally indifferent to it. I told my family I don't want to do anything for it. <EOS>
[2024-03-10 13:23:38,823 INFO] H-40	i 'm sorry to hear that . what happened ?
[2024-03-10 13:23:38,823 INFO] S-41	<CLS> It's my 18th birthday, everyone is congratulating me and to be honest I'm surprised I've made it this far.. Everyone wonders what I want to do with my life and I have no idea. The reason I have no idea is that I didn't think I'd still be alive today. I thought I would have ended it by now. Happy birthday to me <SEP>
[2024-03-10 13:23:38,823 INFO] T-41	<BOS> Congrats on your birthday. I've never thought as well that i might see my HS graduation this year. <EOS>
[2024-03-10 13:23:38,823 INFO] H-41	i love the guitar , but i 'm not a fan of meatloaf . i hope you 're not hurt . i hope you can get it back to you !
[2024-03-10 13:23:38,823 INFO] S-42	<CLS> I'm contemplating suicide via ruining my life.. If I can't do it quickly, then I'll do it slowly. I'm in no rush. I mean fuck it. I'm going to be miserable whether I'm working my dream job or being a cashier at McDonald's. What's the point in taking up something someone else is gonna enjoy more? <SEP>
[2024-03-10 13:23:38,823 INFO] T-42	<BOS> Maybe one day things will become brighter for you to see it in a better light so that dream job might be ideal <EOS>
[2024-03-10 13:23:38,823 INFO] H-42	i can imagine . i hope you can find a new one soon .
[2024-03-10 13:23:38,823 INFO] S-43	<CLS> emotional trauma/neglect and being re-traumatized on top of the depression. I can't take it anymore I just want out. <SEP>
[2024-03-10 13:23:38,823 INFO] T-43	<BOS> How did the trauma come about? <EOS>
[2024-03-10 13:23:38,823 INFO] H-43	i 'm sorry to hear that . i 'm sure you 'll have a great time .
[2024-03-10 13:23:38,823 INFO] S-44	<CLS> Fuck it. My girl and I broke up and im done. I was doing so well. Been clean for months now and now... I just want to die and get it over with. <SEP>
[2024-03-10 13:23:38,823 INFO] T-44	<BOS> I hope you're still here. It gets better. <EOS>
[2024-03-10 13:23:38,823 INFO] H-44	i 'm sorry to hear that . i hope you can get through it .
[2024-03-10 13:23:38,823 INFO] S-45	<CLS> Everyday I ask myself why I haven't killed myself.. And as each day passes I have less reasons. <SEP>
[2024-03-10 13:23:38,823 INFO] T-45	<BOS> If there's one thing I regret not doing, it's that I didn't kill myself when I was 12 and actually attempted it. It's been all downhill in the 15 years since. <EOS>
[2024-03-10 13:23:38,823 INFO] H-45	that 's too bad . i hope you are ok .
[2024-03-10 13:23:38,823 INFO] S-46	<CLS> I finished a 6 hour motorcycle ride between two states.. Why didn't I get hit? <SEP>
[2024-03-10 13:23:38,823 INFO] T-46	<BOS> a motorcycle ride sounds super cool. i can't even force myself on my bike. <EOS>
[2024-03-10 13:23:38,823 INFO] H-46	i am sorry to hear that . i 'm sure you 'll be fine .
[2024-03-10 13:23:38,823 INFO] S-47	<CLS> Why is it so easy to blame ourselves?. It's strange, sometimes when I make mistakes that clearly not my fault I blame myself for it, but why is that and how can we stop blaming ourselves for everything? <SEP>
[2024-03-10 13:23:38,823 INFO] T-47	<BOS> I'm trying to increase my self worth so I stop doing this exact thing. My frustration immediately gets taken out on the one thing I seem to hate the most: me. I've started to set small goals for myself every day so each day feels like a success when I achieve those goals. This has led me to branch out and actually put myself out there. In doing so I'm discovering a passion for mental health advocacy and rekindling a love for doing creative stuff. I'm not saying everything has immediately gotten better. Holy shit it hasn't. But this helps at least a little for me! Hope you can find omething that works for you. Let me know if you wanna talk about it <EOS>
[2024-03-10 13:23:38,823 INFO] H-47	oh no ! i 'm sorry to hear that . i hope you can find something else quickly .
[2024-03-10 13:23:38,823 INFO] S-48	<CLS> Is the good even worth it?. idek anymore. Too much bad... <SEP>
[2024-03-10 13:23:38,824 INFO] T-48	<BOS> The good is worth it! Hang in there! You can get through this because you're stronger than this! You can make it through cause the good will be worth it! Lots of love! <EOS>
[2024-03-10 13:23:38,824 INFO] H-48	that 's good . i hope you get it !
[2024-03-10 13:23:38,824 INFO] S-49	<CLS> People said try finding yourself a goal. But I have goals. I can't work on them because I feel tired. Which makes me feel more worst due to my failure.. I am not sad I am just feel...given up. <SEP>
[2024-03-10 13:23:38,824 INFO] T-49	<BOS> i guess the idea is that have something strong enough to motivate you towards it. I personally have goals but I never have so I really help you here. <EOS>
[2024-03-10 13:23:38,824 INFO] H-49	that 's good to hear . i hope you can find something soon .
[2024-03-10 13:23:38,824 INFO] S-50	<CLS> I have become comfortably numb. afraid of who I am becoming <SEP>
[2024-03-10 13:23:38,824 INFO] T-50	<BOS> What does that mean in practice? Are you one of those persons who got tired of being used so now you use others? <EOS>
[2024-03-10 13:23:38,824 INFO] H-50	i 'm sorry to hear that .
[2024-03-10 13:23:38,824 INFO] S-51	<CLS> I feel so alone. And it hurts so much <SEP>
[2024-03-10 13:23:38,824 INFO] T-51	<BOS> Please know that someone out there cares for you and would be heartbroken if you here. <EOS>
[2024-03-10 13:23:38,824 INFO] H-51	why did you lie ?
[2024-03-10 13:23:38,824 INFO] S-52	<CLS> It would mean so much for someone to just notice something is wrong and ask if I'm okay. Just once, I want someone to know I'm spiraling down without me having to pour everything onto them. If they'd just be interested enough in my well being to *ask*... <SEP>
